Index;GOÄ;Schlüssel;GOÄZiffer;Beschreibung;Punktzahl;Einfachfaktor;Einfachsatz;Regelhöchstfaktor;Regelhöchstsatz;Höchstfaktor;Höchstsatz;Ausschlussziffer;go;ziffer;analog
1;GOÄ 1:;1;z 1; Beratung – auch mittels Fernsprecher;80;1;4,66;2,3;10,72;3,5;16,32;Ausschlussziffern: GOÄ 2, GOÄ 3, GOÄ 20, GOÄ 21, GOÄ 22, GOÄ 23, GOÄ 24, GOÄ 25, GOÄ 26, GOÄ 27, GOÄ 28, GOÄ 29, GOÄ 30, GOÄ 31, GOÄ 32, GOÄ 33, GOÄ 34, GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 50, GOÄ 51, GOÄ 376, GOÄ 377, GOÄ 378, GOÄ 435, GOÄ 448, GOÄ 449, GOÄ 804, GOÄ 806, GOÄ 807, GOÄ 808, GOÄ 812, GOÄ 817, GOÄ 835, GOÄ 849, GOÄ 861, GOÄ 862, GOÄ 863, GOÄ 864, GOÄ 870, GOÄ 871, GOÄ 886, GOÄ 887, GOÄ K1;GOAE;z 1;
2;GOÄ 2:;2;z 2; Ausstellung von Wiederholungsrezepten und/oder Überweisungen und/oder Übermittlung von Befunden oder ärztlichen Anordnungen – auch mittels Fernsprecher – durch die Arzthelferin und/oder Messung von Körperzuständen (z.B. Blutdruck, Temperatur) ohne Beratung, bei einer Inanspruchnahme des Arztes;30;1;1,75;1,8;3,15;2,5;4,37;Ausschlussziffern:;GOAE;z 2;
3;GOÄ 3:;3;z 3; Eingehende, das gewöhnliche Maß übersteigende Beratung – auch mittels Fernsprecher –;150;1;8,74;2,3;20,11;3,5;30,6;Ausschlussziffern:;GOAE;z 3;
4;GOÄ 4:;4;z 4; Erhebung der Fremdanamnese über einen Kranken und/oder Unterweisung und Führung der Bezugsperson(en) – im Zusammenhang mit der Behandlung eines Kranken –;220;1;12,82;2,3;29,49;3,5;44,88;Ausschlussziffern: GOÄ 3, GOÄ 15, GOÄ 20, GOÄ 21, GOÄ 25, GOÄ 26, GOÄ 30, GOÄ 31, GOÄ 34, GOÄ 45, GOÄ 46, GOÄ 70, GOÄ 435, GOÄ 448, GOÄ 449, GOÄ 801, GOÄ 806, GOÄ 807, GOÄ 816, GOÄ 817, GOÄ 835;GOAE;z 4;
5;GOÄ 5:;5;z 5; Symptombezogene Untersuchung;80;1;4,66;2,3;10,72;3,5;16,32;Ausschlussziffern: GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 23, GOÄ 24, GOÄ 25, GOÄ 26, GOÄ 27, GOÄ 28, GOÄ 29, GOÄ 45, GOÄ 46, GOÄ 50, GOÄ 51, GOÄ 61, GOÄ 435, GOÄ 448, GOÄ 449, GOÄ 600, GOÄ 601, GOÄ 1203, GOÄ 1204, GOÄ 1210, GOÄ 1211, GOÄ 1212, GOÄ 1213, GOÄ 1217, GOÄ 1228, GOÄ 1240, GOÄ 1400, GOÄ 1401, GOÄ 1414;GOAE;z 5;
6;GOÄ 6:;6;z 6; Vollständige körperliche Untersuchung mindestens eines der folgenden Organsysteme alle Augenabschnitte, der gesamte HNO-Bereich, das stomatognathe System, die Nieren und ableitenden Harnwege (bei Männern auch gegebenenfalls einschließlich der männlichen Geschlechtsorgane) oder Untersuchung zur Erhebung eines vollständigen Gefäßstatus – gegebenenfalls einschließlich Dokumentation –;100;1;5,83;2,3;13,41;3,5;20,4;Ausschlussziffern: GOÄ 5, GOÄ 7, GOÄ 8, GOÄ 25, GOÄ 26, GOÄ 27, GOÄ 28, GOÄ 29, GOÄ 45, GOÄ 46, GOÄ 61, GOÄ 435, GOÄ 448, GOÄ 449, GOÄ 600, GOÄ 601, GOÄ 1203, GOÄ 1204, GOÄ 1210, GOÄ 1211, GOÄ 1212, GOÄ 1213, GOÄ 1217, GOÄ 1228, GOÄ 1240, GOÄ 1400, GOÄ 1401, GOÄ 1414;GOAE;z 6;
7;GOÄ 7:;7;z 7; Vollständige körperliche Untersuchung mindestens eines der folgenden Organsysteme das gesamte Hautorgan, die Stütz- und Bewegungsorgane, alle Brustorgane, alle Bauchorgane, der gesamte weibliche Genitaltrakt (gegebenenfalls einschließlich Nieren und ableitende Harnwege) – gegebenenfalls einschließlich Dokumentation –;160;1;9,33;2,3;21,45;3,5;32,64;Ausschlussziffern: GOÄ 5, GOÄ 6, GOÄ 8, GOÄ 23, GOÄ 24, GOÄ 25, GOÄ 26, GOÄ 27, GOÄ 28, GOÄ 29, GOÄ 45, GOÄ 46, GOÄ 61, GOÄ 435, GOÄ 448, GOÄ 449, GOÄ 600, GOÄ 601, GOÄ 1203, GOÄ 1204, GOÄ 1228, GOÄ 1240, GOÄ 1400, GOÄ 1401, GOÄ 1414, GOÄ 1730;GOAE;z 7;
8;GOÄ 8:;8;z 8; Untersuchung zur Erhebung des Ganzkörperstatus, gegebenenfalls einschließlich Dokumentation;260;1;15,15;2,3;34,86;3,5;53,04;Ausschlussziffern: GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 25, GOÄ 26, GOÄ 27, GOÄ 28, GOÄ 29, GOÄ 45, GOÄ 46, GOÄ 61, GOÄ 435, GOÄ 448, GOÄ 449, GOÄ 600, GOÄ 601, GOÄ 715, GOÄ 800, GOÄ 801, GOÄ 1203, GOÄ 1204, GOÄ 1228, GOÄ 1240, GOÄ 1400, GOÄ 1401, GOÄ 1414;GOAE;z 8;
9;GOÄ 11:;11;z 11; Digitaluntersuchung des Mastdarms und/oder der Prostata;60;1;3,5;2,3;8,04;3,5;12,24;Ausschlussziffern: GOÄ 23, GOÄ 24, GOÄ 27, GOÄ 28, GOÄ 435, GOÄ 770, GOÄ 3230;GOAE;z 11;
10;GOÄ 15:;15;z 15; Einleitung und Koordination flankierender therapeutischer und sozialer Maßnahmen während der kontinuierlichen ambulanten Betreuung eines chronisch Kranken;300;1;17,49;2,3;40,22;3,5;61,2;Ausschlussziffern: GOÄ 4, GOÄ 20, GOÄ 33, GOÄ 34, GOÄ 45, GOÄ 46, GOÄ 60, GOÄ 435;GOAE;z 15;
11;GOÄ A:;A;z A; Zuschlag für außerhalb der Sprechstunde erbrachte Leistungen;70;1;4,08;-;-;-;-;Ausschlussziffern: GOÄ B, GOÄ C, GOÄ D, GOÄ E, GOÄ F, GOÄ G, GOÄ H, GOÄ J, GOÄ K2;GOAE;z A;
12;GOÄ B:;B;z B; Zuschlag für in der Zeit zwischen 20 und 22 Uhr oder 6 und 8 Uhr außerhalb der Sprechstunde erbrachte Leistungen;180;1;10,49;-;-;-;-;Ausschlussziffern: GOÄ A, GOÄ C, GOÄ E, GOÄ F, GOÄ G, GOÄ H, GOÄ J, GOÄ K2;GOAE;z B;
13;GOÄ C:;C;z C; Zuschlag für in der Zeit zwischen 22 und 6 Uhr erbrachte Leistungen;320;1;18,65;-;-;-;-;Ausschlussziffern: GOÄ A, GOÄ B, GOÄ E, GOÄ F, GOÄ G, GOÄ H, GOÄ J, GOÄ K2;GOAE;z C;
14;GOÄ D:;D;z D; Zuschlag für an Samstagen, Sonn- oder Feiertagen erbrachte Leistungen;220;1;12,82;-;-;-;-;Ausschlussziffern: GOÄ A, GOÄ E, GOÄ F, GOÄ G, GOÄ H, GOÄ J, GOÄ K2;GOAE;z D;
15;GOÄ K1:;K1;z K1; Zuschlag zu Untersuchungen nach Nummer 5, 6, 7 oder 8 bei Kindern bis zum vollendeten 4. Lebensjahr;120;1;6,99;-;-;-;-;Ausschlussziffern: GOÄ 435, GOÄ 790, GOÄ 791, GOÄ 792, GOÄ 793, GOÄ E, GOÄ F, GOÄ G, GOÄ H, GOÄ J, GOÄ K2;GOAE;z K1;
